Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2020-05-04,197.974365234375,198.70615585905784,192.05763241344886,193.36947672699688,4090900
2020-05-05,201.33880615234375,204.2302508407702,199.55396677813468,200.74088659605295,4655200
2020-05-06,199.8305206298828,203.864259529495,199.7234346753602,202.9093643775439,3321100
2020-05-07,204.76568603515625,206.7111679537508,202.06165558416276,202.14197008455034,4501300
2020-05-08,209.2098846435547,210.2094036849672,206.2827499437011,207.66600281145122,4365200
2020-05-11,211.1107635498047,213.08301671868264,206.37201798583985,206.8360799580302,4378300
2020-05-12,207.84449768066406,213.51136699557253,207.84449768066406,212.9045282672422,4399600
2020-05-13,205.34573364257812,210.87873185269459,203.9535477756504,207.96943555001184,6237200
2020-05-14,209.2545623779297,209.41520500100802,201.8653285301739,202.01703824143235,6434500
2020-05-15,213.582763671875,217.0631943255403,207.6660179434029,207.74633243143182,16176300
2020-05-18,218.95513916015625,221.60562627818192,217.78605812654655,219.39241601887142,8314800
2020-05-19,212.485107421875,216.3760573349431,212.21737882445558,214.5822852643025,9387000
2020-05-20,212.5654296875,216.2065033406953,209.67398524069245,215.965546232484,7534200
2020-05-21,214.96603393554688,215.23374891718242,210.42360789999242,212.0567373741802,4772700
2020-05-22,215.85845947265625,216.26896486731198,212.9848672410958,214.80539725262997,3041800
2020-05-26,216.39389038085938,221.51638354053824,216.02800871157228,221.45390763526862,4535200
2020-05-27,220.74893188476562,220.77570338570067,214.8768087750427,216.5813336265396,4664800
2020-05-28,218.76776123046875,225.09501353459865,218.13413726196887,222.67656381175763,5259300
2020-05-29,221.74842834472656,222.84611430639282,218.4018546945703,218.6963548098532,5341600
2020-06-01,220.6864013671875,222.90853071568517,219.41916737325093,222.57833987435558,3407800
2020-06-02,225.52334594726562,225.53226524037967,220.42762442741807,221.88227262224984,5301000
2020-06-03,225.33480834960938,226.97768927343466,224.78718137500096,226.05300968166895,4638100
2020-06-04,223.4944305419922,226.3851810862277,222.16576692927603,224.23059070352306,4759400
2020-06-05,228.83599853515625,229.68887023865605,224.7781867498347,226.5377654571034,5054300
2020-06-08,230.51483154296875,230.55074914778064,226.46599145851616,226.6724834398031,3811900
2020-06-09,230.505859375,231.8794131608347,227.9023811186241,229.22207219890475,3716100
2020-06-10,228.4320526123047,232.7771648031364,228.22557433852228,231.1253112157733,3589800
2020-06-11,214.98377990722656,224.9936676659839,214.3284275039089,223.41363563789355,6563700
2020-06-12,217.6590576171875,221.19618786754992,212.81122261020968,218.21567083989976,5238500
2020-06-15,216.68052673339844,217.45259080686046,210.35139858099558,213.32294321419357,6250900
2020-06-16,224.39218139648438,225.91835074331746,218.03612188634787,223.89841709936292,5291600
2020-06-17,225.20018005371094,228.58468148493304,224.50890998561786,226.92385524936094,4234000
2020-06-18,223.72787475585938,226.0081495622122,221.86055652379312,223.86253153039786,3347800
2020-06-19,221.42962646484375,228.29740960541724,221.18724427175087,227.22011431823498,11114600
2020-06-22,223.68296813964844,224.49093612453495,220.40617864860457,220.57675301617107,3815200
2020-06-23,224.71536254882812,227.52531895840448,224.55377443892914,227.13030753613867,3105300
2020-06-24,220.96278381347656,224.69740616749263,217.9104315076363,222.4709943163107,3873000
2020-06-25,220.28952026367188,221.16033736087553,217.4346730536243,219.76882451596373,2938400
2020-06-26,216.36630249023438,220.9358515293086,215.68401874638607,220.26254033655192,5002700
2020-06-29,220.95382690429688,221.29497567223734,215.76484236372866,217.84762518065523,3468300
2020-06-30,224.89492797851562,225.91836052113837,220.92688202559057,221.74383628904488,4524600
2020-07-01,222.77626037597656,224.73335901469795,221.68100623014837,224.12288297836665,3677300
2020-07-02,223.0904998779297,226.50194688136753,222.5698041096395,226.17875687686174,3369800
2020-07-06,224.03309631347656,225.78370280024916,221.77973926000698,224.67947620067756,3133800
2020-07-07,222.05804443359375,225.1373144849831,221.80667600893142,222.0759895363898,2927800
2020-07-08,223.6919403076172,224.2485398652047,221.04358558552732,222.52486478813046,2294000
2020-07-09,222.60568237304688,224.89492966021837,221.1603070109551,224.13185179734535,2994700
2020-07-10,224.53582763671875,224.73333335840567,221.42063994294546,222.90191915704546,2745300
2020-07-13,224.09591674804688,231.49335365890144,223.62011126513224,226.16074049009126,4437500
2020-07-14,231.43057250976562,231.78068014653533,223.05457812012315,223.5393562388196,4614200
2020-07-15,231.43948364257812,234.5726436075917,229.0604563031709,233.54023861846423,4343700
2020-07-16,231.6908721923828,233.8634351610811,229.82356775906626,230.50586524292436,2511200
2020-07-17,233.7556915283203,233.9980736905924,231.36767791804294,233.44147416434396,3091300
2020-07-20,233.56719970703125,234.49187940940155,231.6370188415342,232.5527396904579,2451100
2020-07-21,235.58717346191406,236.88889234885352,234.06099005282917,234.8689582235347,2439900
2020-07-22,238.05596923828125,238.4330082460045,235.2100945887205,235.7397628881184,2750000
2020-07-23,236.83497619628906,240.41698313661263,235.03049335105354,240.41698313661263,2680100
2020-07-24,238.1815948486328,239.60005247861324,236.0988122560888,237.93921267510098,2984500
2020-07-27,240.0758514404297,241.20699561656994,237.98408265489655,237.98408265489655,2412500
2020-07-28,238.15463256835938,241.55710579136985,237.60701933727552,241.09924545927694,2227000
2020-07-29,237.59811401367188,239.7975813329774,237.1582260292326,237.72378455332202,2874100
2020-07-30,239.07933044433594,240.01299628060104,234.80604007556659,236.41301708856966,2347800
2020-07-31,238.3432159423828,239.8514540887987,233.96219933020373,237.9033279897779,3640600
2020-08-03,238.96266174316406,241.11725241658786,238.50482869071712,239.4564397997885,2363500
2020-08-04,240.4798583984375,240.49783090050178,236.8619334592624,239.36665915472418,2224000
2020-08-05,240.12973022460938,240.9466844825367,238.70231368507848,240.9466844825367,1959900
2020-08-06,241.82643127441406,242.78702843573018,239.27682964218434,239.33967859227445,2203400
2020-08-07,243.8643798828125,246.80899343455607,242.2214850266652,242.93967276236617,2846300
2020-08-10,246.63836669921875,246.88074884421883,244.00794371700968,244.5645706006953,2393100
2020-08-11,246.80899047851562,250.8039542308017,246.35113004915414,249.29574356562998,3321300
2020-08-12,252.78793334960938,254.03581653399905,248.64034093021922,251.14506615122687,3867900
2020-08-13,252.8597869873047,253.74854902852044,251.13609821347333,252.41091284170423,2202400
2020-08-14,251.86329650878906,253.16504261583353,250.64237186522442,252.39299216130405,2490400
2020-08-17,258.76702880859375,259.64683223533444,254.57455849500045,255.3196777238818,5584400
