Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2020-04-02,144.74618530273438,145.14950011174943,138.9204874422528,138.9204874422528,4803200
2020-04-03,143.69752502441406,145.40041542152136,139.95114700457782,143.67959597551666,5050400
2020-04-06,158.67404174804688,159.41794002067542,150.7869558725573,151.64735877584167,8330900
2020-04-07,157.37445068359375,165.97856093252085,156.9890650547973,165.38702544678767,7848300
2020-04-08,159.077392578125,160.8071699912537,156.03906790035896,156.85465513342209,5665700
2020-04-09,164.64312744140625,166.22055540522686,160.98638126508067,161.98123142831523,4901300
2020-04-13,161.4345245361328,163.88132687625927,158.55753442751973,163.72895047377713,3182500
2020-04-14,164.903076171875,165.35120669866603,162.97610670115853,164.6879685957063,3863800
2020-04-15,159.39105224609375,162.19635353984216,158.88019058982073,160.1976953480065,4961500
2020-04-16,160.87884521484375,161.24631549726163,154.39888218668364,158.63819277452558,7120800
2020-04-17,166.79420471191406,167.43054246698182,161.53314248622507,163.40633867469248,6467600
2020-04-20,162.8057861328125,166.50734800603675,162.71616824881153,165.3153193743907,3856500
2020-04-21,159.15805053710938,160.7802809680831,157.831587915364,158.96982968546976,4758300
2020-04-22,167.13475036621094,168.25507663575357,161.99917857586757,161.99917857586757,4243600
2020-04-23,163.15538024902344,167.89660958048518,162.51008477702567,166.84798563418076,5050100
2020-04-24,164.92996215820312,165.22572994564106,162.0977739595776,164.24879500803394,3319600
2020-04-27,166.60592651367188,168.8286495611367,165.60211875207906,165.9426885707023,4048200
2020-04-28,166.6417999267578,170.28958873405145,166.3191590979796,170.28958873405145,3805000
2020-04-29,168.3357696533203,170.65708266543987,167.49328201473253,168.9721073882643,3465200
2020-04-30,168.1027374267578,168.77493328254354,162.00815893246192,163.11952767067046,7127200
2020-05-01,163.71104431152344,166.29226679867173,163.25394243007383,164.91203081897743,3764800
2020-05-04,163.00299072265625,163.53179512911083,160.31420760671193,162.50108672915061,4027100
2020-05-05,160.64584350585938,164.78656538628715,160.52932518729634,164.49079758399103,3828400
2020-05-06,158.611328125,162.33080622350062,158.51273885686373,161.86476029763745,3916900
2020-05-07,162.330810546875,162.725167629923,159.80336128639567,160.87887190097962,3039600
2020-05-08,162.4293975830078,164.40116929526158,161.24634002599925,164.19503306863496,3411600
2020-05-11,162.11572265625,163.90824497248147,160.00054577606247,160.76235955494485,2631300
2020-05-12,158.2259063720703,163.64828800129496,158.13628848016222,163.09261057355056,3610600
2020-05-13,154.89183044433594,158.25280914789872,153.26958656902949,157.90325423390513,4729100
2020-05-14,157.2131805419922,157.4372458422313,150.4374480508985,152.54365366762997,4868400
2020-05-15,155.7791290283203,156.58577216907952,153.8700886386342,155.0979755618674,6879600
2020-05-18,161.17465209960938,162.3577097638124,159.6330817524202,161.38078834491358,4653000
2020-05-19,160.9416046142578,162.63553746542033,159.5972130283873,161.43453725505694,3365000
2020-05-20,165.00167846679688,165.4498090289817,161.83787779184075,163.11952463527683,4920800
2020-05-21,165.8800048828125,166.2385038499915,163.21810834013843,165.07336169287126,2913600
2020-05-22,165.2794952392578,166.12198277222248,164.17708435632358,165.34222639817133,2475200
2020-05-26,165.66490173339844,170.88114800345267,165.12715326822934,169.92214204298577,3990900
2020-05-27,168.24612426757812,169.1692720487956,166.0502874450303,169.1603143616649,3993400
2020-05-28,169.1513214111328,170.71977803790466,167.34984186597745,169.76974364068275,3567600
2020-05-29,168.10476684570312,170.25208106379165,167.55440184812963,169.1062364753273,5717200
2020-06-01,169.08822631835938,169.47618158999376,167.4551796781439,168.45666322090628,2168200
2020-06-02,169.25057983398438,170.12575053737288,167.89722477930604,169.98138936078436,3125500
2020-06-03,174.393310546875,174.8624774449189,169.70168286755083,170.0445371892412,3881500
2020-06-04,174.34825134277344,175.26852300426862,172.88661830520527,173.51819510475576,3469100
